Volatility 3 Framework 2.26.0

Offset	Base	Size	Name	Path	File output

0xbc88bc4a78a0	0xf800d8c00000	0x144f000	ntoskrnl.exe	\SystemRoot\system32\ntoskrnl.exe	Disabled
0xbc88bc453290	0xf800da400000	0x6000	hal.dll	\SystemRoot\system32\hal.dll	Disabled
0xbc88bc453440	0xf8006a4a0000	0xb000	kdcom.dll	\SystemRoot\system32\kd.dll	Disabled
0xbc88bc4a69c0	0xf8006a4b0000	0xc000	symcryptk.dll	\SystemRoot\system32\symcryptk.dll	Disabled
0xbc88bc4a6bd0	0xf8006a580000	0xd1000	cng.sys	\SystemRoot\System32\drivers\cng.sys	Disabled
0xbc88bc4a8010	0xf8006a4f0000	0x8a000	CLFS.SYS	\SystemRoot\System32\drivers\CLFS.SYS	Disabled
0xbc88bc4a8230	0xf8006a4c0000	0x2a000	tm.sys	\SystemRoot\System32\drivers\tm.sys	Disabled
0xbc88bc4a8440	0xf8006a660000	0x15000	winaccel.sys	\SystemRoot\System32\drivers\winaccel.sys	Disabled
0xbc88bc4a8660	0xf8006a680000	0x1b000	PSHED.dll	\SystemRoot\system32\PSHED.dll	Disabled
0xbc88bc4a6df0	0xf8006a6a0000	0xd000	BOOTVID.dll	\SystemRoot\system32\BOOTVID.dll	Disabled
0xbc88bc4a8880	0xf8006a7d0000	0x95000	FLTMGR.SYS	\SystemRoot\System32\drivers\FLTMGR.SYS	Disabled
0xbc88bc4a8ac0	0xf8006a8b0000	0x62000	msrpc.sys	\SystemRoot\System32\drivers\msrpc.sys	Disabled
0xbc88bc4a8cf0	0xf8006a870000	0x31000	ksecdd.sys	\SystemRoot\System32\drivers\ksecdd.sys	Disabled
0xbc88bc4a9010	0xf8006a6b0000	0x111000	clipsp.sys	\SystemRoot\System32\drivers\clipsp.sys	Disabled
0xbc88bc4a92c0	0xf8006a920000	0x10000	cmimcext.sys	\SystemRoot\System32\drivers\cmimcext.sys	Disabled
0xbc88bc4a94f0	0xf8006a940000	0x16000	werkernel.sys	\SystemRoot\System32\drivers\werkernel.sys	Disabled
